ccdc_code,spacegroup,is_overlapped,line_direction,m,n,x,y,k,sigma,theta
RULYAA,C 1 2/c 1,False,"(0, 1, 0)",8.647,8.648,17.294723183676574,8.98,1.0000160058256202,90.0,62.561
RUMCAF,I 1 2/a 1,False,"(0, 1, 0)",9.359,9.36,18.719,10.059,1.0,90.0,61.748
RUPPUN,C 1 2/c 1,False,"(0, 1, 0)",7.939,7.939,15.878705772196923,8.704,0.999955552284484,90.0,61.272
RUPREA,C 1 2/c 1,False,"(0, 1, 0)",9.901,9.902,19.80312465243806,6.626,0.9999937054156728,90.0,71.499
RURBAI,C 1 2/c 1,False,"(0, 1, 0)",8.283,8.284,16.566933632993166,8.656,1.0000040059921953,90.0,62.412
RURTUW,C 1 2/c 1,False,"(0, 1, 0)",10.559,10.56,21.119264026002423,8.073,0.999987498333176,90.0,69.082
RUSGOC,C 1 2/c 1,False,"(0, 1, 0)",13.444,13.445,26.88972288812215,10.727,0.9999731165648246,90.0,68.251
RUSJUK,C 1 2/c 1,False,"(0, 1, 0)",11.781,11.782,23.5626214585729,8.405,1.0000160653358443,90.0,70.371
RUTKOG,C 1 2/c 1,False,"(0, 1, 0)",8.18,8.181,16.36107041119254,9.321,0.9999956964189524,90.0,60.327
RUWKOM,C 1 2/c 1,False,"(0, 1, 0)",11.971,11.972,23.94304846923215,7.364,0.9999979756449052,90.0,72.903
RUWRIK,C 1 2/c 1,False,"(0, 1, 0)",10.443,10.444,20.88733609151727,9.167,0.9999839093163534,90.0,66.303
RUZFIE,I 1 2/a 1,False,"(0, 1, 0)",7.669,7.67,15.339,7.554,1.0,90.0,63.782
RUZXOZ,I 1 2/a 1,False,"(0, 1, 0)",11.176,11.176,22.352,9.636,1.0,90.0,66.681
SACKIR,C 1 2/c 1,False,"(0, 1, 0)",11.078,11.078,22.15631327635534,8.69,0.99998586062801,90.0,68.583
SACLER,C 1 2/c 1,False,"(0, 1, 0)",10.376,10.377,20.75323745828588,8.356,0.9999885580123894,90.0,68.067
SADHAI,C 1 2/c 1,False,"(0, 1, 0)",11.477,11.477,22.95436934441894,9.905,0.9999839096246383,90.0,66.658
SADPAR,C 1 2/c 1,False,"(0, 1, 0)",9.427,9.428,18.85550853199139,6.763,0.9999730300569444,90.0,70.268
SAGBOS,C 1 2/c 1,False,"(0, 1, 0)",8.02,8.02,16.039399988777635,7.918,1.0000374085827888,90.0,63.724
SAGCEI,I 1 2/c 1,False,"(0, 1, 0)",9.992,9.993,19.985,11.119,1.0,90.0,60.911
SAGPIA,C 1 2/c 1,False,"(0, 1, 0)",8.195,8.196,16.390220285279877,8.034,1.0000475719487931,90.0,63.891
SAKHOB,C 1 2/c 1,False,"(0, 1, 0)",10.1,10.101,20.201624315881137,8.778,0.999969095758273,90.0,66.515
SAKJIA,C 1 2/c 1,False,"(0, 1, 0)",10.682,10.682,21.36460214934975,5.874,0.99997181555989,90.0,74.628
SAKWOT,C 1 2/c 1,False,"(0, 1, 0)",9.534,9.535,19.06898237977056,8.944,1.0000009240256815,90.0,64.87
SAKWOT01,C 1 2/c 1,False,"(0, 1, 0)",9.534,9.535,19.06898237977056,8.944,1.0000009240256815,90.0,64.87
SAMFEU,C 1 2/c 1,False,"(0, 1, 0)",11.074,11.075,22.148965506316543,7.311,1.00000155734964,90.0,71.734
SAMROR,I 1 2/a 1,False,"(0, 1, 0)",11.11,11.11,22.22,7.842,1.0,90.0,70.56
SAMSIK,C 1 2/c 1,False,"(0, 1, 0)",11.314,11.315,22.62950255750223,7.359,0.9999777919332978,90.0,71.986
SAMYEO,I 1 2/a 1,False,"(0, 1, 0)",9.144,9.144,18.288,8.887,1.0,90.0,64.085
SANQOP,C 1 2/c 1,False,"(0, 1, 0)",8.004,8.004,16.00793006606413,8.862,1.000004368705734,90.0,61.031
SANZOA,C 1 2/c 1,False,"(0, 1, 0)",12.068,12.069,24.13778674609584,8.452,0.9999674060383368,90.0,70.703
SAPVIO,C 1 2/c 1,False,"(0, 1, 0)",11.615,11.616,23.231206791727374,6.355,0.9999910985370142,90.0,74.702
SAPXEP,C 1 2/c 1,False,"(0, 1, 0)",8.088,8.089,16.177095691130717,9.174,0.9999940847768632,90.0,60.441
SAQYAK,C 1 2/c 1,False,"(0, 1, 0)",9.027,9.027,18.05441729882192,6.537,0.9999768866081352,90.0,70.096
SARZES,C 1 2/c 1,False,"(0, 1, 0)",10.475,10.476,20.95071743401643,9.893,1.0000134871745785,90.0,64.721
SATNAG,C 1 2/c 1,False,"(0, 1, 0)",8.337,8.338,16.675199609000188,7.289,0.9999880295885584,90.0,66.389
SAWGEE,C 1 2/c 1,False,"(0, 1, 0)",9.522,9.523,19.044919138709936,9.86,1.000004245819553,90.0,62.63
SAWKUY01,C 1 2/c 1,False,"(0, 1, 0)",8.888,8.888,17.776079657787314,7.601,0.9999955188214248,90.0,66.847
SAWKUY02,C 1 2/c 1,False,"(0, 1, 0)",8.818,8.818,17.6358052268673,7.613,1.0000110441871064,90.0,66.652
SAYCAW,C 1 2/c 1,False,"(0, 1, 0)",10.613,10.614,21.22641792672518,8.44,1.0000274221150658,90.0,68.319
SAZCOL,C 1 2/c 1,False,"(0, 1, 0)",8.179,8.18,16.35920077509901,8.021,0.9999877270838736,90.0,63.879
SAZPER,C 1 2/c 1,False,"(0, 1, 0)",8.065,8.066,16.130509043424514,7.07,1.0000304365208912,90.0,66.331
SAZTEW,C 1 2/c 1,False,"(0, 1, 0)",9.953,9.954,19.9067287619036,10.879,1.00001362544794,90.0,61.347
SEBDAE,C 1 2/c 1,False,"(0, 1, 0)",12.28,12.282,24.56172131590129,9.295,1.0000113462772058,90.0,69.271
SECCAE,C 1 2/c 1,False,"(0, 1, 0)",11.323,11.323,22.646132760363304,6.235,0.9999941376143684,90.0,74.605
